"no","name","side","runTime","Coin_received","Wechat_received","Manual_payment","Detergent","Softener","LB","status","date","startTime","endTime","machine"
1,"SP-W1","NA","0:0:16",1,0,0,0,0,0,"SUCCESS","15/02/2019","15/02/2019 15:50:45","15/02/2019 15:51:01","467b712f6f3dd1baad34f7b11b75f7d1"
2,"SP-W1","NA","0:0:1",0,0,0,0,0,0,"SUCCESS","15/02/2019","15/02/2019 15:51:21","15/02/2019 15:51:22","467b712f6f3dd1baad34f7b11b75f7d1"
3,"SP-W1","NA","0:0:1",0,0,0,0,0,0,"SUCCESS","15/02/2019","15/02/2019 15:51:51","15/02/2019 15:51:52","467b712f6f3dd1baad34f7b11b75f7d1"
4,"SP-W1","NA","0:0:1",0,0,0,0,0,0,"SUCCESS","15/02/2019","15/02/2019 15:52:21","15/02/2019 15:52:22","467b712f6f3dd1baad34f7b11b75f7d1"
5,"SP-W1","NA","0:0:27",1,0,0,0,0,0,"SUCCESS","15/02/2019","15/02/2019 15:55:59","15/02/2019 15:56:26","467b712f6f3dd1baad34f7b11b75f7d1"
6,"SP-W1","NA","0:0:2",8,0,0,0,0,0,"SUCCESS","15/02/2019","15/02/2019 15:56:54","15/02/2019 15:56:56","467b712f6f3dd1baad34f7b11b75f7d1"
1,"SP-D17-18","upper","0:30:26",0,0,0,0,0,0,"SUCCESS","15/02/2019","15/02/2019 19:35:41","15/02/2019 20:06:07","ae7d7950ed68a29b627719c0723f0ca0"
2,"SP-D17-18","lower","0:30:25",8,0,0,0,0,0,"SUCCESS","15/02/2019","15/02/2019 19:35:42","15/02/2019 20:06:07","ae7d7950ed68a29b627719c0723f0ca0"
3,"SP-D17-18","upper","0:0:2",0,0,0,0,0,0,"SUCCESS","15/02/2019","15/02/2019 20:06:29","15/02/2019 20:06:31","ae7d7950ed68a29b627719c0723f0ca0"
4,"SP-D17-18","lower","0:0:2",0,0,0,0,0,0,"SUCCESS","15/02/2019","15/02/2019 20:06:29","15/02/2019 20:06:31","ae7d7950ed68a29b627719c0723f0ca0"
5,"SP-D17-18","upper","0:0:2",0,0,0,0,0,0,"SUCCESS","15/02/2019","15/02/2019 20:06:59","15/02/2019 20:07:01","ae7d7950ed68a29b627719c0723f0ca0"
6,"SP-D17-18","lower","0:0:1",0,0,0,0,0,0,"SUCCESS","15/02/2019","15/02/2019 20:07:00","15/02/2019 20:07:01","ae7d7950ed68a29b627719c0723f0ca0"
7,"SP-D17-18","upper","0:0:2",0,0,0,0,0,0,"SUCCESS","15/02/2019","15/02/2019 20:07:29","15/02/2019 20:07:31","ae7d7950ed68a29b627719c0723f0ca0"
8,"SP-D17-18","lower","0:0:2",0,0,0,0,0,0,"SUCCESS","15/02/2019","15/02/2019 20:07:29","15/02/2019 20:07:31","ae7d7950ed68a29b627719c0723f0ca0"
9,"SP-D17-18","upper","0:0:2",0,0,0,0,0,0,"SUCCESS","15/02/2019","15/02/2019 20:07:59","15/02/2019 20:08:01","ae7d7950ed68a29b627719c0723f0ca0"
10,"SP-D17-18","lower","0:0:2",0,0,0,0,0,0,"SUCCESS","15/02/2019","15/02/2019 20:07:59","15/02/2019 20:08:01","ae7d7950ed68a29b627719c0723f0ca0"
11,"SP-D17-18","upper","0:7:51",0,0,0,0,0,0,"SUCCESS","15/02/2019","15/02/2019 20:08:29","15/02/2019 20:16:20","ae7d7950ed68a29b627719c0723f0ca0"
12,"SP-D17-18","lower","0:7:52",8,0,0,0,0,0,"SUCCESS","15/02/2019","15/02/2019 20:08:29","15/02/2019 20:16:21","ae7d7950ed68a29b627719c0723f0ca0"
13,"SP-D17-18","upper","0:1:10",0,0,0,0,0,0,"SUCCESS","15/02/2019","15/02/2019 20:41:31","15/02/2019 20:42:41","ae7d7950ed68a29b627719c0723f0ca0"
14,"SP-D17-18","lower","0:1:10",8,0,0,0,0,0,"SUCCESS","15/02/2019","15/02/2019 20:41:31","15/02/2019 20:42:41","ae7d7950ed68a29b627719c0723f0ca0"
2,"SP-V1","NA",0,125,0,0,1,1,1,"SUCCESS","16/02/2019","16/02/2019 01:24:59","NA","e15ceae8fa62a160cebe0a1644e6116c"
5,"SP-V1","NA",0,15,0,0,20,20,20,"SUCCESS","17/02/2019","17/02/2019 11:47:23","NA","e15ceae8fa62a160cebe0a1644e6116c"
6,"SP-V1","NA",0,7,0,0,7,7,7,"SUCCESS","17/02/2019","17/02/2019 11:51:51","NA","e15ceae8fa62a160cebe0a1644e6116c"
15,"SP-D17-18","upper","0:0:25",0,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 12:24:31","17/02/2019 12:24:56","ae7d7950ed68a29b627719c0723f0ca0"
16,"SP-D17-18","lower","0:0:25",8,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 12:24:31","17/02/2019 12:24:56","ae7d7950ed68a29b627719c0723f0ca0"
17,"SP-D17-18","upper","0:0:2",0,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 12:25:24","17/02/2019 12:25:26","ae7d7950ed68a29b627719c0723f0ca0"
18,"SP-D17-18","lower","0:0:2",0,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 12:25:24","17/02/2019 12:25:26","ae7d7950ed68a29b627719c0723f0ca0"
9,"SP-V1","NA",0,15,0,0,15,15,15,"SUCCESS","17/02/2019","17/02/2019 15:34:18","NA","e15ceae8fa62a160cebe0a1644e6116c"
10,"SP-V1","NA",0,9,0,0,4,4,4,"SUCCESS","17/02/2019","17/02/2019 15:41:10","NA","e15ceae8fa62a160cebe0a1644e6116c"
15,"SP-V1","NA",0,28,0,0,24,24,24,"SUCCESS","17/02/2019","17/02/2019 15:55:19","NA","e15ceae8fa62a160cebe0a1644e6116c"
7,"SP-W1","NA","0:0:4",9,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 16:23:34","17/02/2019 16:23:38","467b712f6f3dd1baad34f7b11b75f7d1"
8,"SP-W1","NA","0:0:1",8,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 16:24:21","17/02/2019 16:24:22","467b712f6f3dd1baad34f7b11b75f7d1"
9,"SP-W1","NA","0:0:0",1,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 16:30:40","17/02/2019 16:30:40","467b712f6f3dd1baad34f7b11b75f7d1"
10,"SP-W1","NA","0:0:0",8,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 16:31:25","17/02/2019 16:31:25","467b712f6f3dd1baad34f7b11b75f7d1"
11,"SP-W1","NA","0:1:59",0,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 16:31:54","17/02/2019 16:33:53","467b712f6f3dd1baad34f7b11b75f7d1"
12,"SP-W1","NA","0:6:36",9,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 16:34:29","17/02/2019 16:41:05","467b712f6f3dd1baad34f7b11b75f7d1"
13,"SP-W1","NA","0:0:2",8,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 16:41:46","17/02/2019 16:41:48","467b712f6f3dd1baad34f7b11b75f7d1"
14,"SP-W1","NA","0:2:10",0,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 16:42:16","17/02/2019 16:44:26","467b712f6f3dd1baad34f7b11b75f7d1"
15,"SP-W1","NA","0:1:26",24,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 16:53:41","17/02/2019 16:55:07","467b712f6f3dd1baad34f7b11b75f7d1"
16,"SP-W1","NA","0:0:2",8,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 16:56:09","17/02/2019 16:56:11","467b712f6f3dd1baad34f7b11b75f7d1"
17,"SP-W1","NA","0:1:59",0,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 16:56:39","17/02/2019 16:58:38","467b712f6f3dd1baad34f7b11b75f7d1"
18,"SP-W1","NA","0:27:43",4,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 17:06:53","17/02/2019 17:34:36","467b712f6f3dd1baad34f7b11b75f7d1"
19,"SP-W1","NA","0:0:2",16,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 17:35:59","17/02/2019 17:36:01","467b712f6f3dd1baad34f7b11b75f7d1"
20,"SP-W1","NA","0:5:18",3,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 17:36:29","17/02/2019 17:41:47","467b712f6f3dd1baad34f7b11b75f7d1"
21,"SP-W1","NA","0:0:42",1,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 17:42:03","17/02/2019 17:42:45","467b712f6f3dd1baad34f7b11b75f7d1"
22,"SP-W1","NA","0:0:1",8,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 17:43:31","17/02/2019 17:43:32","467b712f6f3dd1baad34f7b11b75f7d1"
23,"SP-W1","NA","0:0:41",0,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 17:44:01","17/02/2019 17:44:42","467b712f6f3dd1baad34f7b11b75f7d1"
24,"SP-W1","NA","0:0:1",0,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 17:45:09","17/02/2019 17:45:10","467b712f6f3dd1baad34f7b11b75f7d1"
25,"SP-W1","NA","0:18:28",1,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 17:45:40","17/02/2019 18:04:08","467b712f6f3dd1baad34f7b11b75f7d1"
26,"SP-W1","NA","0:0:1",8,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 18:04:52","17/02/2019 18:04:53","467b712f6f3dd1baad34f7b11b75f7d1"
27,"SP-W1","NA","0:24:22",0,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 18:05:22","17/02/2019 18:29:44","467b712f6f3dd1baad34f7b11b75f7d1"
28,"SP-W1","NA","0:0:2",16,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 18:30:56","17/02/2019 18:30:58","467b712f6f3dd1baad34f7b11b75f7d1"
29,"SP-W1","NA","0:4:2",1,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 18:31:26","17/02/2019 18:35:28","467b712f6f3dd1baad34f7b11b75f7d1"
30,"SP-W1","NA","0:1:38",9,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 18:36:48","17/02/2019 18:38:26","467b712f6f3dd1baad34f7b11b75f7d1"
31,"SP-W1","NA","0:1:15",9,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 18:41:01","17/02/2019 18:42:16","467b712f6f3dd1baad34f7b11b75f7d1"
32,"SP-W1","NA","0:4:25",10,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 18:45:27","17/02/2019 18:49:52","467b712f6f3dd1baad34f7b11b75f7d1"
33,"SP-W1","NA","0:1:19",9,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 18:52:08","17/02/2019 18:53:27","467b712f6f3dd1baad34f7b11b75f7d1"
34,"SP-W1","NA","0:1:34",10,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 18:59:08","17/02/2019 19:00:42","467b712f6f3dd1baad34f7b11b75f7d1"
35,"SP-W1","NA","0:0:31",3,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 19:01:33","17/02/2019 19:02:04","467b712f6f3dd1baad34f7b11b75f7d1"
36,"SP-W1","NA","2:31:48",4,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 19:02:57","17/02/2019 21:34:45","467b712f6f3dd1baad34f7b11b75f7d1"
37,"SP-W1","NA","0:1:30",3,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 21:37:08","17/02/2019 21:38:38","467b712f6f3dd1baad34f7b11b75f7d1"
38,"SP-W1","NA","0:1:10",5,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 21:39:43","17/02/2019 21:40:53","467b712f6f3dd1baad34f7b11b75f7d1"
39,"SP-W1","NA","0:2:43",3,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 21:43:36","17/02/2019 21:46:19","467b712f6f3dd1baad34f7b11b75f7d1"
40,"SP-W1","NA","0:1:15",6,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 21:49:57","17/02/2019 21:51:12","467b712f6f3dd1baad34f7b11b75f7d1"
41,"SP-W1","NA","0:1:10",5,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 21:52:13","17/02/2019 21:53:23","467b712f6f3dd1baad34f7b11b75f7d1"
42,"SP-W1","NA","0:0:18",2,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 21:56:16","17/02/2019 21:56:34","467b712f6f3dd1baad34f7b11b75f7d1"
43,"SP-W1","NA","0:0:18",4,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 21:58:46","17/02/2019 21:59:04","467b712f6f3dd1baad34f7b11b75f7d1"
44,"SP-W1","NA","0:0:17",1,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 22:05:30","17/02/2019 22:05:47","467b712f6f3dd1baad34f7b11b75f7d1"
45,"SP-W1","NA","0:6:31",2,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 22:06:25","17/02/2019 22:12:56","467b712f6f3dd1baad34f7b11b75f7d1"
46,"SP-W1","NA","0:0:18",1,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 22:13:35","17/02/2019 22:13:53","467b712f6f3dd1baad34f7b11b75f7d1"
47,"SP-W1","NA","0:0:2",2,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 22:14:36","17/02/2019 22:14:38","467b712f6f3dd1baad34f7b11b75f7d1"
48,"SP-W1","NA","0:0:5",2,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 22:15:34","17/02/2019 22:15:39","467b712f6f3dd1baad34f7b11b75f7d1"
49,"SP-W1","NA","0:0:20",0,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 22:16:08","17/02/2019 22:16:28","467b712f6f3dd1baad34f7b11b75f7d1"
50,"SP-W1","NA","0:0:1",11,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 22:20:18","17/02/2019 22:20:19","467b712f6f3dd1baad34f7b11b75f7d1"
51,"SP-W1","NA","0:22:59",0,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 22:20:48","17/02/2019 22:43:47","467b712f6f3dd1baad34f7b11b75f7d1"
19,"SP-D17-18","upper","0:2:0",0,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 23:01:15","17/02/2019 23:03:15","ae7d7950ed68a29b627719c0723f0ca0"
20,"SP-D17-18","lower","0:2:11",0,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 23:01:15","17/02/2019 23:03:26","ae7d7950ed68a29b627719c0723f0ca0"
21,"SP-D17-18","upper","0:0:43",0,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 23:04:16","17/02/2019 23:04:59","ae7d7950ed68a29b627719c0723f0ca0"
22,"SP-D17-18","lower","0:0:43",8,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 23:04:16","17/02/2019 23:04:59","ae7d7950ed68a29b627719c0723f0ca0"
23,"SP-D17-18","upper","0:0:17",6,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 23:05:36","17/02/2019 23:05:53","ae7d7950ed68a29b627719c0723f0ca0"
24,"SP-D17-18","lower","0:0:17",2,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 23:05:36","17/02/2019 23:05:53","ae7d7950ed68a29b627719c0723f0ca0"
25,"SP-D17-18","upper","0:0:1",0,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 23:06:22","17/02/2019 23:06:23","ae7d7950ed68a29b627719c0723f0ca0"
26,"SP-D17-18","lower","0:0:1",0,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 23:06:22","17/02/2019 23:06:23","ae7d7950ed68a29b627719c0723f0ca0"
27,"SP-D17-18","upper","0:0:20",4,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 23:08:32","17/02/2019 23:08:52","ae7d7950ed68a29b627719c0723f0ca0"
28,"SP-D17-18","lower","0:0:20",4,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 23:08:32","17/02/2019 23:08:52","ae7d7950ed68a29b627719c0723f0ca0"
29,"SP-D17-18","upper","0:0:1",0,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 23:09:21","17/02/2019 23:09:22","ae7d7950ed68a29b627719c0723f0ca0"
30,"SP-D17-18","lower","0:0:2",0,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 23:09:21","17/02/2019 23:09:23","ae7d7950ed68a29b627719c0723f0ca0"
52,"SP-W1","NA","0:0:2",9,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 23:11:15","17/02/2019 23:11:17","467b712f6f3dd1baad34f7b11b75f7d1"
53,"SP-W1","NA","0:0:27",1,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 23:11:45","17/02/2019 23:12:12","467b712f6f3dd1baad34f7b11b75f7d1"
54,"SP-W1","NA","0:0:1",8,0,0,0,0,0,"SUCCESS","17/02/2019","17/02/2019 23:12:56","17/02/2019 23:12:57","467b712f6f3dd1baad34f7b11b75f7d1"
31,"SP-D17-18","upper","0:0:38",0,0,0,0,0,0,"SUCCESS","18/02/2019","18/02/2019 09:17:28","18/02/2019 09:18:06","ae7d7950ed68a29b627719c0723f0ca0"
32,"SP-D17-18","lower","0:0:37",8,0,0,0,0,0,"SUCCESS","18/02/2019","18/02/2019 09:17:29","18/02/2019 09:18:06","ae7d7950ed68a29b627719c0723f0ca0"
